,text
71,the design is very odd as the ear clip is not very comfortable at all
72,at first i thought i was getting a good deal at 7 44 until i plugged it into my phone voters razor
73,don buy it
74,so there is no way for me to plug it in here in the us unless i go by a converted
75,soy technology suck
76,doesn't last long
77,still waiting investigation sure this item would work well if i ever relieve it
78,poorly construct hinge
79,think it over when you plan to own this one this sure is the last motor phone for me
80,problem is that the ear loops are made of weak material and break easily
81,the bottom line another worthless cheap gimme from sprinted
82,this pair of headstones is the worst that i have ever had sound
83,att is not clear sound is very distorted and you have to yell when you talk
84,i would advise to not purchase this item it never worked very well
85,it doesn't make you look cool
86,bought mainly for the charge which broke soon after purchasing
87,i put the latest os on it voters 15 and it now likes to slow to a crawl and lock up every once in a while
88,there's really nothing bad i can say about this heads
89,we are sending it back
90,i came over from verie because circulating has nicer cell phones the first thing i noticed was the really bad service
91,unreliable investigation giving up
92,after my phone got to be about a year old it's been slowly breaking despite much care on my part
93,it was a waste of my money
94,don't waste your money and time
95,due to this happening on every call i was forced to stop using this heads
96,i checked everywhere and there is no feature for it which is really disappointing
97,does not fit
98,it'll be looking for a new eyepiece
99,however the key are so tiny that i sometimes reach the wrong buttons
100,unfortunately it did not work
101,couldn't figure it out
102,worst soft ever used if i could give this zero stars i would
103,lousy product
104,lasted one day and then blew up
105,i bought it for my mother and she had a problem with the battery
106,i was not impressed by this product
107,not enough volume
108,buyer be very careful
109,were jerks on the phone
110,but when i check voice mail at night the key back-lighted turns off a few seconds into the first message and then investigation lost
111,disappointing results
112,i got the car charge and not even after a week the charge was broken i went to plug it in and it started smoking
113,i find this inexcusable and so will probably be returning this phone and perhaps changing carriers
114,you get what you pay for i guess
115,bad quality
116,it's not what it says it is
117,it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how childlike the company is
118,all in all it'd expected a better consumer experience from motor
119,sending it back
120,everything about this product is wrong first
121,it is cheap and it feel and look just as cheap
122,after receiving and using the product for just 2 days it broke
123,phone falls out easily
124,the first thing that happened was that the tracking was off
125,links should have some way to exchange a bad phone for a refurbished unit or something
126,a must study for anyone interested in the worst sins of industrial design
127,the been heads was such a disappointment
128,i have had this phone for over a year now and i will tell you its not that great
129,what a piece of junk i lose more calls on this phone
130,doesn't work at all i bough it for my laws and its not working
131,very disappointed
132,ear piece breaks easily
133,i can barely ever hear on it and am constantly saying what
134,it doesn't work in eloped or aside
135,i ordered this product first and was unhappy with it immediately
136,investigation really disappointed all i have now is a charge that doesn't work
137,horrible horrible protect
138,rip off over charge shipping
139,case was more or less an extra that i originally put on but later discarded because it scratched my ear
140,invest also had problems with the phone reading the memory card in which i always turn it on and then off again
141,piece of junk
142,the case is a flimsy piece of plastic and has no front or side protection whatsoever
143,the battery is completely useless to me
144,the biggest complaint i have is the battery drains super
145,so i had to take the battery out of the phone put it all back together and then rest it
146,bad purchase
147,it was horrible
148,perhaps my phone is defective but people cannot hear me when i use this
149,not only will it drain your player but may also potentially fry it
150,improper description i had to return it
151,cant get the soft to work with my computer
152,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form one anyway
153,reaching for the bottom row is uncomfortable and the send and end keys are not where i expect them to be 3
154,the calls drop the phone comes on and off at will the screen goes black and the worst of all it stops ringing intermittently
155,the commercials are the most misleading
156,steer clear of this product and go with the genuine palm replacement pens which come in a three-part
157,i don't think it would hold it too securely on your belt
158,it makes very strange ticking noises before it ends the call
159,i kept catching the cable on the seat and i had to pull the phone out to turn it on an off
160,piece of trash
161,not a good item it worked for a while then started having problems in my auto reverse tape player
162,then a few days later the a puff of smoke came out of the phone while in use
163,then i exchanged for the same phone even that had the same problem
164,cumbersome design
165,all three broke within two months of use
166,one thing i hate is the mode set button at the side
167,while i managed to bend the leaf spring back in place the metal now has enough stress that it will break on the next drop
168,the camera although rated at an impressive 1 3 megaton renders images that fall well below expectations of such a relatively high resolution
169,the screen does get smudged easily because it touches your ear and face
170,item does not match picture
171,do not buy do not buy suck
172,doesn't work
173,sprinted charges for this service
174,i am not impressed with this and i would not recommend this item to anyone
175,this is essentially a communications tool that does not communicate
176,stay away from this store be careful
177,it's a piece of crap
178,sucked most of the stuff does not work with my phone
179,adapter does not provide enough charging current
180,talk about useless customer service
181,what a big waste of time
182,tied to charge for conversations lasting more than 45 minutes major problems
183,you also cannot take pictures with it in the case because the lenses is covered
184,don't make the same mistake that i did and please don't buy this phone
185,the construction of the heads is poor
186,it's uncomfortable and the sound quality is quite poor compared with the phone razor or with my previous wired heads that plugged into an laws
187,no additional ear gel provided and no instructions whatsoever
188,echo problem very unsatisfactory
189,these products cover up the important light sensor above the ear outlet
190,and none of the tones is acceptable
191,don't waste your money
192,this is infuriating
193,the loudspeaker option is great the bumpers with the lights is very appealing
194,it clicks into place in a way that makes you wonder how long that mechanism would last
195,i found this product to be way too big
196,the instructions didn't explain that a microphone jacket could be used
197,uncomfortable in the ear don't use with laws voters envy
198,you have to hold the phone at a particular angle for the other party to hear you clearly
199,can't unload restoring from a third party
200,do not make the same mistake as me
201,i might have gotten a defect but i would not risk buying it again because of the built quality alone
202,not worth it
203,you could only take 2 video at a time and the quality was very poor
204,if you plan to use this in a car forget about it
205,i have 2-3 bars on my cell phone when i am home but you cant not hear anything
206,battery has no life
207,the interne access was fine it the rare instance that it worked
208,shaggy floppy piece of junk
209,wont work right or apostle for me
210,don't waste your on this one
211,audio quality is poor very poor
212,invest missed numerous calls because of this reason
213,the item received was counterfeit
214,this product had a strong rubber petroleum smell that was unbearable after a while and caused me to return it
215,first off the reception suck i have never had more than 2 bars ever
216,don't bother go to the store
217,very disappointed
218,kind of flops around
219,the pleats case doesn't fit
220,no real improvement
221,truly awful
222,invest bought 5 wired headstones that sound better than these
223,as an earlier review noted plug in this charge and nothing happens
224,after the first charge kept going dead after 12 minutes
225,i does not maintain a connection with the computer while it is on my lap
226,disappointment i hate anything that goes in my ear
227,warning stay away
228,very disappointing performance
229,do not buy if you want to use the holster
230,veteran's bills however are difficult to understand even though their pricing plans are simple
231,chines forgeries abound
232,it lasts less than 31 minutes if i actually try to use the phone my wife has the same phone with the same problem
233,not what i wanted
234,who in their right mind is gonna buy this battery
235,battery lasts only a few hours
236,i can't use this case because the smell is disgusting
237,you need at least 3 min to get to your phone book from the time you first turn on the phone battery life is short
238,they made this case too small and is very difficult to install
239,this phone might well be the worst invest ever had in any brand
240,all i can do is whine on the interne so here it goes the more i use the thing the less i like it
241,avoid this one if you can
242,the text massaging feature is really tricky to use
243,the cable looks so thin and flimsy it is scary
244,i received my supposedly new motor 375 and apparently there was not a match between the phone and the charge
245,obviously there is a problem with the adhesive
246,the volume switch rocket out of the unit to a destination unknown
247,even in my been 3 series which is fairly quiet i have trouble hearing what the other person is saying
248,this product is very high quality chines crap
249,verie teach support walked my through a few procedures none of which worked and i ended up having to do a hard re-set wiping out all my data
250,we received a white colored battery that goes dead after a couple hours original used to last a week but still lasts longer than there
251,my phone sounded oks not great oks but my wife's phone was almost totally unintelligible she couldn't understand a word being said on it
252,they refuse to refund or replace
253,that's a huge design flaw unless investigation not using it correctly which i don't think is the case
254,the worst phone invest ever had only had it for a few months
255,the sound quality for the device is unacceptable unless you are in a really quiet area you almost hear nothing
256,investigation trying to return it for a refund
257,i went on motor web and followed all directions but could not get it to pair again
258,the only thing that i think could improve is the sound leaks out from the heads
259,don't waste your money
260,last time buying from you
261,i would have given no star if i was able
262,however the ear pads come off easily and after only one week i lost one
263,however i needed some better instructions
264,i have two more years left in this contract and i hate this phone
265,after 3 months screen just went black all of a sudden
266,it is usable in a moving car at freeway speed
267,i contacted the company and they told me that although the unit was still under warranty if i couldn't produce my receipt i was out of luck
268,very cheap plastic creaks like an old wooden floor
269,the real killer is the volume and of course it breaking
270,don waste your money
271,in addition it feels amp looks as if the phone is all lightweight cheap plastic
272,i was sitting in my vehicle with the cradle on my belt and the heads lost signal
273,i recently had problems where i could not stay connected for more than 10 minutes before being disconnected
274,what a waste of money and time
275,i only hear garbage for audio
276,the replacement died in a few weeks
277,the holster that arrived did not match the photo in the ad
278,reception is terrible and full of static
279,the plastic breaks really easy on this clip
280,however restoring are not the best and neither are the games
281,first of all it doesn't wear well
282,this product is clearly not ready for prime time i don't care how cool it looks if you can't tell a call is coming in it's worthless
283,if there is a wind it is completely useless
284,interne is excruciating slow
285,bad fit way too big
286,blue does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked
287,waste of money
288,it didn't charge for me
289,sprinted terrible customer service
290,people could hear me talk and i had to pull out the earphones and talk on the phone
291,design flaw
292,the nooks can us cable did not work with my phone
293,the battery runs down quickly
294,my 52-year old nooks 216 from track holds the charge a lot better than this
295,useless phone simply deaf
296,battery life still not long enough in motor razor voters
297,the battery life is highly unacceptable
298,i wouldn't recommend buying this product
299,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one
300,worthless product
301,using all earliest left or right this thing will not stay on my ear
302,i ordered this for sonny esoteric which but i think it only worked once that when i first used it
303,if you simply want a small flip phone look elsewhere as the extra bells whistle are mediocre
304,if you like a loud buzzing to override all your conversations then this phone is for you
305,it didn't work people can not hear me when i talk
306,if you don't find it too bad as again the unit comes with one ear only i would not recommend this to anyone
307,low quality
308,a piece of junk that broke after being on my phone for 2 days
309,how stupid is that
310,it was an inexpensive piece but i would still have expected better quality
311,does not charge the circulating att 85 phone
312,i have to jiggling the plug to get it to line up right to get decent volume
313,so just beware
314,i cannot make calls at certain places
315,not good enough for the price
316,i am going to have to be the first to negatively review this product
317,terrible product and waste of money
318,disappointing
319,the battery is unreliable as well as the service use antenna
320,i was not happy with this item
321,bad reception
322,i give wire 1 star i will contact circulating at t and inform them of this practice
323,when i placed my tree into the case not only was it not snug but there was a lot of extra room on the sides
324,i have this phone and it is a thorn in my side i really abhorred it
325,unfortunately it's easy to accidentally activate them with the gentle buttons if you accidentally touch the phone to your face while listening
326,but now that it is out of warranty the same problems recur bottom line put your money somewhere else circulating will not support it
327,does not work for listening to music with the circulating 81
328,the update procedure is difficult and cumbersome
329,you need two hands to operate the screen this soft interface is decade old and cannot compete with new soft designs
330,so i basically threw my money out the window for nothing
331,warning do not buy
332,worst ever
333,disappointed
334,it would take too long to describe how bad my customer service experience has been with amazons
335,painful on the ear
336,investigation returning them
337,very displeased
338,the instruction manual is lacking
339,voice quality signal strength dropped calls
340,the phone gets extremely hot
341,used and dirty
342,the majority of the logic ear heads failed
343,it did not work in my cell phone plug i am very up set with the charge
344,don't trust their web and don't expect any helpful support
345,i had to purchase a different case
346,i still maintain that monkeys shouldn't make headstones we just obviously don't share enough didn to copy the design over to humans
347,i want my money back
348,no buyers remorse on this one
349,however been heads are currently not good for real time games like first-place shooters since the audio delay messes me up
350,the ear buds only play music in one ear
351,worst phone ever
352,poor voice clarity
353,it loosest connection to the phone even when it is within a couple feet between the two
354,terrible phone holder
355,the eyepiece on this is too large or too heavy it keeps falling out of my ear
356,don't buy it
357,really ugly
358,i used to talk on it for 1 1 1 2 hours and the battery would be literally drained and dying
359,having trouble with volume
360,also the phone doesn't seem to accept anything except cobra mph preferably ripped by windows media player
361,buyer beware you could flush money right down the toilet
362,how can that be the audio quality is poor
363,buttons are too small
364,save your money invest had this item for 11 months now
365,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does
366,the charge arrived within the promised time but it did not work
367,same problem as others have mentioned
368,this allows the possibility of double booking for the same date and time after the first
369,disappointed
370,if you hate ear avoid this phone by all means
371,another note about this phone appearance is that it really looks rather bland especially in the all black model
372,i didn't want the clip going over the top of my ear causing discomfort
373,then i had to continue pair it periodically since it somehow kept dropping
374,my only complaint is the standard sound volume is a little low even when turned up to 5 of 5
375,unfortunately it will not rechartering my ironed 402 despite connecting it from multiple power sources intimacy external battery wall outlet etc.
376,buy a different phone but not this
377,makes it easier to keep up with my blue when investigation not wearing it
378,i don't like this nooks either
379,customer service was terrible
380,i have had problems wit hit dropping signal and more
381,you can not answer calls with the unit never worked once
382,utter crap sound quality is terrible
383,poor quality
384,also if your phone is dropped this case is not going to save it specially when dropped face down
385,mice doesn't work
386,the no stated it my son was disappointed
387,i got this phone around the end of may and investigation completely unhappy with it
388,it is practically useless and did not add any kind of boost to my reception after i bought it
389,i bought this phone as a replacement for my start and have regretted it since
390,do not buy for deserves wrongly advertised for deserves
391,obviously they have a terrible customer service so you get what you pay for
392,there was so much hyped-up over this phone that i assumed it was the best my mistake
393,not nearly as good looking as the amazons picture makes it look
394,the buttons for on and off are bad
395,tree and two-mile refused to replace it again and forced me to buy another phone without any kind of upgrade discount
396,as i said above pretty useless
397,the charge worked for about a week and then completely stopped charging my phone
398,the plug did not work very well
399,however after about a year the flip started to get loose and wobbly and eventually my screen went black and i couldn't receive and place calls
400,the price was very good and with the free shipping and all it was a good purchase
401,i was very excited to get this heads because i thought it was really cute
402,the phone loads super
403,works as described
404,works fine
405,superb phone on a great network
406,razor battery good buy
407,car charge as well as act charge are included to make sure you never run out of juice high recommended
408,worth every penny
409,the sound is clear and the people i talk to on it are amazed at the quality too
410,after trying many many hands gadgets this is the one that finally works well
411,definitely a bargain
412,plan on ordering from them again and again
413,for the price this was a great deal
414,i recommend invigorating to anyone with different brand cell phones mph players in the family
415,overall i am psyche to have a phone which has all my appointments and contacts in and gets great reception
416,jawbone era is awesome too
417,good product incredible value
418,highly recommend for any one who has a blue tooth phone
419,the file brows offers all the options that one needs hands is great
420,worked great
421,battery life is real good
422,plant blue excellent buy
423,investigation glad i found this product on amazons it is hard to find it wasn't high priced
424,it works great with a car charge especially if you cannot plug in two adapters at the same time
425,so far so good
426,great value
427,it fits my ear well and is comfortable on
428,gets a signal when other verie phones won't
429,excellent
430,i have to use the smallest earliest provided but it stays on pretty well
431,great product for the price
432,this item is fantastic and works perfectly
433,great eyepiece
434,i received it quickly and it works great
435,this is cool because most cases are just open there allowing the screen to get all scratched up
436,the shipping time was also very quick
437,simple lightweight and great fit
438,works like a charm works as advertised
439,blue ant is easy to use
440,the battery is working well as a replacement for the original that came with the phone over 2 years ago
441,i love this thing
442,the phone is sturdy and waterproof
443,other than that the leather is nice and soft the fit is very tight the cut out for the face is a good shape
444,i was amazed at the quick arrival of the two original laws cell phone batteries and and at a fraction of the price
445,the bosses noise cancelling is amazing which is very important for a nymph commuter
446,excellent wallet type phone case
447,it is well made easy to access the phone and has a handy detachable belt clip
448,the reception through this heads is excellent
449,reversible plug works great
450,love this phone
451,setup went very smoothly
452,phone now holds charge like it did when it was new
453,overall i would recommend this phone over the new walk
454,very good stuff for the price
455,i ended up sliding it on the edge of my pants or back pockets instead
456,after charging overnight these batteries work great
457,very well made and fits my sure grand perfectly
458,i had to go to a store and bought a new nooks phone which is working great
459,1 it works 2 it is comfortable
460,for the price on amazons it is an excellent product which i would highly recommend
461,it seems completely secure both holding on to my belt and keeping the ironed inside
462,it's really easy
463,it's very convenient and simple to use gets job done makes the car ride so much smoother
464,it has all the features i want
465,great pocket primary phone combination
466,it does everything the description said it would
467,those phones are working just fine now
468,my colleague i now get great reception a little expensive but performance is great
469,clear crisp sound
470,the cutouts and buttons are placed perfectly
471,logic blue heads is a 10
472,it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days
473,authentic leather with nice shine and comfort i recommend you this case
474,the phone can also take great pictures and even video clips
475,works well
476,better than you'd expect
477,virgin wires rocks and so does this cheap little phone
478,good audio quality
479,works great
480,battery charge is quite long
481,i especially love the long battery life
482,this is hands down the best phone invest ever had
483,this blue super hands phone speaker is awesome
484,the best phone in market
485,five star plus plus
486,it has been a winner for us
487,it definitely was not as good as my said
488,these headstones were a great find and i think they are perhaps the best purchase invest made in the last several years seriously
489,i am very impressed with this heads from plant
490,the heads are easy to use and everyone loves them
491,arrived quickly and much less expensive than others being sold
492,their research and development division obviously knows what they're doing
493,my heads works just peach
494,it's fits like a glove and is strong secure and durable
495,every thing on phone work perfectly she like it
496,awesome device
497,comfortable in my hand
498,i would recommend purchasing the jab jury series 2 which works flawless with my motor quickie go figure
499,best invest found so far invest tried 2 other booths and this one has the best quality for both me and the listener as well as ease of using
500,i was very pleased to see that i could replace my well traveled swivel holster for my blackberry flip
501,it has everything i need and i couldn't ask for more
502,i love this phone it is very handy and has a lot of features
503,the heads fulfills my requirements so i am happy with my purchase
504,the only good thing was that it fits comfortably on small ears
505,i have purchased these for both family and friends and all enjoy their clarity and ease of use
506,nice quality build unlike some cheap said out there
507,two-mile has the best customer service anywhere
508,and the sound quality is great
509,better than expected
510,its a little geese but i think that its sex on toast and it rocks and ooze sex right down to its battery embedded sleek stylish leather case
511,i have used several phone in two years but this one is the best
512,i definitely recommend
513,great for iodocompounds too
514,works good
515,i used bit a free program you can find on the interne to transfer data to the phone the price of the cable was excellent
516,i really recommend this fireplaces since it looks very nice elegant and cool
517,i got it because it was so small and adorable
518,someone should invented this sooner
519,it finds my cell phone right away when i enter the car
520,i would highly recommend this
521,it quit working after it'd used it for about 18 months so i just purchased another one because this is the best heads invest ever owned
522,comfort for our whole family
523,great phone
524,excellent product for the price
525,great no problems at all
526,i have yet to run this new battery below two bars and that's three days without charging
527,excellent product i am very satisfied with the purchase
528,i exchanged the sonny esoteric zombies for this and investigation pretty happy with that decision
529,it's very attractive and appears to be of good quality
530,this item is great installed it let it charged up overnighters and it has been working good every since with no problems
531,this is a great deal
532,investigation pleased
533,i really like this product over the motor because it is allot clearer on the ear piece and the mice
534,the keyboard is a nice compromise between a full quarter and the basic cell phone number key
535,kissed always good
536,exactly what i wanted
537,i got the aluminum case for my new palm voters and it worked really well it has protected my handhold perfectly so far
538,item arrived quickly and works great with my metre pecs sung school slide phone and sonny premium sound in ear plugs
539,works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen
540,i would highly recommend this product
541,well image satisfied
542,this one works and was priced right
543,easy to pair with my sung cell
544,phone is sturdy as all nooks bar phones are
545,its well-designed and very sharp the blue is a very nice color
546,good protection and does not make phone too bulky
547,very good quality though
548,this is an excellent tool especially when paired with your phone answer
549,the screen size is big key pad lit well enough and the camera quality is excellent for a camera phone
550,i love the look and feel of sung flipped
551,this battery is an excellent bargain
552,i would recommend this
553,it is light easy to use and has very clear reception and transmission
554,nice solid keyboard
555,love it great and
556,good quality
557,price is good too
558,great phone
559,very good phone
560,great it was new packaged nice works good no problems and it came in less time then i expected
561,i had absolutely no problem with this heads linking to my 85 blackberry curve
562,much less than the jawbone i was going to replace it with
563,the jab enlarge fit my ears very well
564,you get extra minutes so that you can carry out the call and not get cut off
565,it has kept up very well
566,jab ear gel r the best
567,only had this a month but it's worked flawless so far
568,also its slim enough to fit into my alarm clock dock station without removing the case
569,great for the jawbone
570,excellent phone
571,worthwhile
572,iliac very pleased with my purchase
573,nice leather
574,it is super charged up for use as a small hybrid palm camera cellophane and excels in those roles
575,good price
576,leopards print is wonderfully wild
577,this is a great little item
578,the reception is excellent
579,small sleek impressive looking practical setup with ample storage in place
580,great sound and service
581,comfortable nice range good battery life
582,the reception has been generally good
583,great phone
584,it feels more comfortable than most heads because i wear glasses and that gets in the way sometimes
585,i have a verie laws phone and they work well together good reception and range that exceeds 20 feet line of sight
586,you won't regret it
587,its a total package
588,a pretty good product
589,everything worked on the first try the device was certainly engineer in a clever way and the construction feels good
590,the sound quality is good and functional is awesome
591,this is simply the best blue heads for sound quality
592,incredible
593,timely shipment and quality product
594,i have only had it for a few weeks but so far so good
595,so i bought about 10 of these and saved allot of money
596,you'll love how thin it is
597,magical help
598,my sank has survived dozens of drops on black without ill effect
599,clear sky calls long battery life long range
600,we would recommend these to others
601,lately they have been extremely nice and helpful on the phone
602,much better than the hard plastic cases
603,i would definitely recommend the jab been for those who are looking for comfort clarity and a great price
604,i love all the features and form factor
605,works great
606,restored my phone to like new performance
607,better than new
608,great product and price
609,really good product
610,i great reception all the time
611,i love being able to use one heads for both by lineman and cell
612,i highly recommend these and encourage people to give them a try
613,i had ordered a motor data cable got a very well finished and working product
614,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used
615,portable and it works
616,it worked very well
617,i found the product to be easy to set up and use
618,the company shipped my product very promptly and it works well
619,blue range is good a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch
620,i highly recommend this modest priced cellular phone
621,very prompt service
622,and i just love the colors
623,fits comfortably came with three sizes of ear tips
624,i received my orders well within the shipping time everything was in good working order and overall i am very excited to have this source
625,i gave it 5 stars because of the sound quality
626,good case
627,great case and price
628,i own a jab ears and was very happy with it but the sound quality especially outgoing on this is better
629,this phone is slim and light and the display is beautiful
630,i connected my wife's blue motor highs to my phone and it worked like a charm whether the phone was in my pocket or the case
631,the seller is very understanding and patient i would definitely buy from them again
632,battery life is also great
633,great phone
634,the case is great and works fine with the 68
635,clippings this to your belt will definitely make you feel like 50 cent up-and-coming
636,good item low price
637,very easy to use
638,i love my 350 heads my jab blue heads is great the reception is very good and the ear piece is a comfortable fit
639,nice sound
640,i got this phone on recommendation from a relative and investigation glad i did
641,i wear glasses and it fits fine with them
642,this frog phone charm is adorable and very eye catching
643,very good product well made
644,this case seems well made
645,investigation using it with an irreverent spin with case and it fits fine
646,the best electronics of the available further transmitter
647,i highly recommend this case
648,thanks again to amazons for having the things i need for a good price
649,great audio
650,this case has passed the one year mark and while it shows signs of wear it is 100 functional
651,it is simple to use and i like it
652,you can't beat the price on these
653,because both ears are occupied background is not distracting at all
654,i bought this to use with my kindled fire and absolutely loved it
655,will order from them again
656,good transmit audio
657,in the span of an hour i had two people exclaim who is that the new phone on tva
658,really pleased with this product so far
659,sounds good reasonably priced and effective its that simple
660,now i know that i made a wise decision
661,love this heads
662,excellent sound quality
663,very satisfied with that
664,invest dropped my phone more times than i can say even on concrete and my phone is still great knock on wood
665,it is very comfortable to wear as well which is probably the most important aspect about using a case
666,i did not have any problem with this item and would order it again if needed
667,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great
668,excellent product for the price
669,oh the charge seems to work fine
670,i love this cable it allows me to connect any mining device to my primary
671,best blue on the market
672,setup couldn't have been simpler
673,they are so cool
674,i was able to do voice dialing in the car with no problem
675,comfortable fit you need your heads to be comfortable for at least an hour at a time if not for an entire day
676,i like design and look of jab behind the ear heads and 50 is pretty comfortable to wear 24 hours a day without pain in the ear
677,great soft for motor
678,integrated seamless with the motor razor phone
679,works great
680,great phone
681,great hands free device
682,appears to actually output the original battery from china that came with my voters
683,no ear loop needed it's tiny and the sound is great
684,i posted more detailed comments under the grey or black phone but i have the fire red and it's a great color
685,investigation happy about this purchase good quality and low price
686,2 thumbs up to this seller
687,it works fine on my motor 325 cellophane and a lot better than the worn-out battery did
688,good case excellent value
689,made very sturdy
690,the voice recognition thru the hands is excellent
691,just what i wanted
692,i love this phone
693,worked very well paired with a tree 700 and as a sky heads on my primary using a us blue transcend
694,the accompanied soft is almost brilliant
695,i searched the interne and found this one to be the best value
696,product is exactly as described
697,i have tried these cables with my computer and my ipso and it works just fine
698,it's been my choice heads for years great sound good volume good noise cancellation
699,voice recognition is tremendous
700,great heads very impressed had
701,the color is even prettier than i thought it would be and the graphic are incredibly sharp
702,love this product
703,my phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand
704,it is so small and you don't even realize that it is there after a while of getting used to it
705,excellent service
706,it holds a charge for a long time is reasonably comfortable under lowering conditions and the quality of sound is tremendous
707,i am very happy
708,this is definitely a must have if your state does not allow cell phone usage while driving
709,it is easy to turn on and off when you are in the car and the volume controls are quite accessible
710,just really good so far probably the best been heads i have ever had
711,the range is very decent invest been able to roam around my house with the phone in the living room with no reception sound quality issues
712,excellent blue heads
713,all in all i think it was a good investment
714,the pair of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature
715,i own 2 of these cases and would order another
716,awesome device works great
717,this little device has transformed my organizational capability and made my life a whole lot easier
718,great phone
719,one of my favorite purchases ever
720,this product is ideal for people like me whose ears are very sensitive
721,this is a great product sure beats using your fingers
722,lightweight and works well
723,it looks very nice
724,i wear it everyday and it holds up very well
725,the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems
726,you can even take self portraits with the outside exterior display very cool
727,i use this product in a motor control center where there is a lot of high voltage humming from the equipment and it works great
728,but in any case the best part is you can down these pictures to your lap using ire or even send pictures from your lap to the phone
729,an awesome new look for fall 2000
730,we have gotten a lot of compliments on it
731,it was that loud glad to say that the plant 510 maintains a flawless connection to my cell and with no static during normal use
732,great product
733,works for me
734,it is a joy to use
735,excellent sound battery life and inconspicuous to boot
736,any ring tone overall good phone to buy
737,great price too
738,the mice is great
739,product was excellent and works better than the verie one and boy was it cheaper
740,good works fine
741,everything about it is fine and reasonable for the price i e
742,i was very impressed with the price of the cases
743,o my gosh the best phone i have ever had
744,fast service
745,absolutely great
746,this is a beautiful phone
747,pros good camera very nice pictures also has cool styles like black and white and more
748,works great
749,not only did the soft do a great job of this i could also make my own restoring form my existing coeds without an interne connection
750,i can hear while investigation driving in the car and usually don't even have to put it on it's loudest setting
751,a lot of writes have been rating this a very good phone and so do i
752,cool phone
753,i usually don't like headstands but this one is very lightweight doesn't mess up my hair
754,invest owned this phone for 7 months now and can say that it's the best mobile phone invest had
755,its the best heads i have used
756,excellent hands free tool
